Component,Deadline Date,Type,Name,,Alias,,City,Region,2015 Federal Riding,2025 New Federal Riding,Total Grant
Public Outreach,21-Aug-24,Organization,Mosquers Film Festival,,Mosquers Film Festival,,EDMONTON,AB,Edmonton Centre, Edmonton Centre ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Canada Palestine Cultural Association,,Canada Palestine Cultural Association,,EDMONTON,AB,Edmonton Griesbach, Edmonton Griesbach ,"$25,000 "
Public Outreach,21-Aug-24,Organization,Edmonton Reggae Festival Society,,Edmonton Reggae Festival Society,,EDMONTON,AB,Edmonton Manning, Edmonton Manning ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Azimuth Theatre,,Azimuth Theatre,,EDMONTON,AB,Edmonton Strathcona, Edmonton Strathcona ,"$50,000 "
Public Outreach,21-Aug-24,Organization,Telling Tales,,Telling Tales,,HAMILTON,ON,Flamborough--Glanbrook, Flamborough—Glanbrook ,"$70,000 "
Public Outreach,21-Aug-24,Organization,Capital Arts Support Inc.,,Capital Arts Support Inc.,,FREDERICTON,NB,Fredericton, Fredericton ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Mandoline Hybride,,Mandoline Hybride,,MARSOUI,QC,Gaspésie--Les Îles-de-la-Madeleine, Gaspésie—Les Îles-de-la-Madeleine ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Salon du livre de Bonaventure,,Salon du livre de Bonaventure,,BONAVENTURE,QC,Gaspésie--Les Îles-de-la-Madeleine, Gaspésie—Les Îles-de-la-Madeleine ,"$40,000 "
Public Outreach,21-Aug-24,Organization,Cecilia Concerts,,Cecilia Concerts,,HALIFAX,NS,Halifax, Halifax ,"$25,000 "
Public Outreach,21-Aug-24,Organization,EVERYSEEKER,,EVERYSEEKER,,HALIFAX,NS,Halifax, Halifax ,"$25,000 "
Public Outreach,21-Aug-24,Organization,Halifax Black Film Festival - HBFF,,Halifax Black Film Festival - HBFF,,HALIFAX,NS,Halifax, Halifax ,"$100,000 "
Public Outreach,21-Aug-24,Organization,Arts For All,,Arts For All,,HAMILTON,ON,Hamilton Centre, Hamilton Centre ,"$60,000 "
Public Outreach,21-Aug-24,Organization,Centre francophone Hamilton,,Centre francophone Hamilton,,HAMILTON,ON,Hamilton Centre, Hamilton Centre ,"$30,000 "
Public Outreach,21-Aug-24,Group,Something Else!,,Something Else!,,HAMILTON,ON,Hamilton Centre, Hamilton Centre ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Expo Bagel,,Expo Bagel,,MONTRÉAL,QC,Hochelaga, Hochelaga ,"$10,000 "
Public Outreach,21-Aug-24,Organization,Petits bonheurs Diffusion culturelle,,Petits bonheurs Diffusion culturelle,,MONTRÉAL,QC,Hochelaga, Hochelaga ,"$100,000 "
Public Outreach,21-Aug-24,Organization,Plein(s) Écran(s),,Plein(s) Écran(s),,MONTRÉAL,QC,Hochelaga, Hochelaga ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Music Africa Inc.,,Music Africa Inc.,,NORTH YORK,ON,Humber River--Black Creek, York Centre ,"$85,000 "
